name,url,description,collection_date,data_completeness_score,license_count,licenses,rtp_count,avg_rtp,fairness_certifications,provider_count,providers,has_ssl,encryption,two_factor_auth,withdrawal_methods_count,withdrawal_methods,review_count,avg_rating
MegaBonanza - Ultimate Social Casino Experience,https://www.megabonanza.com/?r=72781897,Join MegaBonanza for the ultimate social casino experience! Play for free and become part of the MegaBonanza community today!,2025-11-22T02:49:50.726573+00:00,57.14285714285714,0,,0,0,TST,5,"NetEnt, Playtech, Yggdrasil, Betsoft, IGT",True,SSL/TLS,True,0,,1,5.0
Real Prize,https://www.realprize.com/refer/317136,"Join the ultimate free-to-play online social casino! Spin to win, and claim your daily bonus coins! Enjoy Vegas-style games at their best!",2025-11-22T02:49:53.234094+00:00,42.857142857142854,0,,0,0,"GLI, TST",5,"NetEnt, Microgaming, Pragmatic Play, Betsoft, EGT",True,SSL/TLS,False,0,,0,0
LuckyBird social sweepstakes casino,https://luckybird.vip/?c=c_jmenichole,"LuckyBird is the best social sweepstakes casino, the best crypto casino with unlimited faucet, play dice and slots, redeem to btc",2025-11-22T02:49:54.873224+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
WOW Vegas,https://www.wowvegas.com/?raf=3615494,"Join the best social casino at WOWVegas.com. Enjoy over 1,500 exciting slot games. Grab your Free Coins and Start Winning!",2025-11-22T02:49:57.088187+00:00,42.857142857142854,0,,0,0,TST,0,,True,SSL/TLS,False,1,Trustly,0,0
MODO,https://modo.us/,"Hundreds of Free To Play Social Casino-Style Games including Slots, Blackjack, Roulette and more with Huge Sweepstakes Prizes. Free, Fast and Secure!",2025-11-22T02:49:59.695616+00:00,28.57142857142857,0,,0,0,TST,0,,True,,False,0,,0,0
Jackpota,https://www.jackpota.com/?r=85453282,Join the best Free-Play social casino at Jackpota.com. Play over 700 thrilling games. Get your Free Coins and Start your Winning adventure today,2025-11-22T02:50:18.012651+00:00,42.857142857142854,1,Malta Gaming Authority (Malta),0,0,TST,0,,True,SSL/TLS,True,0,,0,0
Bitsler.io - Free Social Casino for US Players,https://www.bitsler.io/?ref=jmenichole,"Join Bitsler Social Casino and play 1300+ games for free. Enjoy slots, blackjack and more with no purchase necessary. Sign up and get 37,500 free Gold Coins!",2025-11-22T02:50:25.314007+00:00,85.71428571428571,1,Malta Gaming Authority (Malta),85,96.0,TST,4,"Microgaming, Yggdrasil, Betsoft, IGT",True,SSL/TLS,True,1,Bitcoin,0,0
MyPrize US: Free Social Casino Games,https://myprize.us/invite/jmenichole,"Experience MyPrize US, America's premier social casino. Play free slots, table games, and more with no purchase needed. Join now and claim your welcome offers!",2025-11-22T02:50:28.185883+00:00,42.857142857142854,1,Malta Gaming Authority (Malta),0,0,,1,IGT,True,SSL/TLS,False,0,,0,0
Clubs Poker,https://play.clubs.poker/?referralCode=104192,,2025-11-22T02:50:32.310550+00:00,14.285714285714285,0,,0,0,,0,,True,,False,0,,0,0
Rolla,https://www.rolla.com/?raf=3873,Join the best social casino at rolla.com. Enjoy over 900 exciting slot games. Grab your Free Coins and Start Winning!,2025-11-22T02:50:33.709370+00:00,42.857142857142854,0,,0,0,TST,0,,True,SSL/TLS,False,1,Trustly,0,0
LoneStar Casino,https://lonestarcasino.com/refer/678504,Offers the best mobile online Social Casino,2025-11-22T02:50:37.238519+00:00,57.14285714285714,0,,0,0,"GLI, TST",5,"NetEnt, Microgaming, Pragmatic Play, Betsoft, EGT",True,SSL/TLS,False,0,,1,4.4
